frame,secondsSinceCut,released,moving,maxDropCm,meanDropCm,maxDisplacementCm,belowGround,realMsSinceLastFrame
1,0.0000,718,0,0.000,0.000,0.000,0,63.26
2,0.0167,718,718,0.272,0.272,0.272,0,318.21
3,0.0333,718,718,0.816,0.816,0.816,0,15.06
4,0.0500,718,718,1.633,1.632,1.633,0,17.86
5,0.0667,718,718,2.721,2.719,2.721,0,17.80
6,0.0833,718,718,4.082,4.077,4.082,0,18.20
7,0.1000,718,718,5.714,5.707,5.714,0,19.53
8,0.1167,718,718,7.618,7.608,7.618,0,18.41
9,0.1333,718,718,9.795,9.715,9.795,0,19.03
10,0.1500,718,693,12.243,11.885,12.243,0,19.49
11,0.1667,718,712,14.962,14.134,14.962,0,19.35
12,0.1833,718,699,17.954,16.384,17.954,0,18.59
13,0.2000,718,700,21.217,18.617,21.217,0,21.28
14,0.2167,718,688,24.752,20.788,24.752,0,20.04
15,0.2333,718,689,28.573,22.914,28.573,0,21.61
16,0.2500,718,696,32.651,24.998,32.651,0,333.66
17,0.2667,718,703,36.985,27.019,36.985,0,18.87
18,0.2833,718,703,41.606,28.917,41.606,0,20.90
19,0.3000,718,702,46.498,30.693,46.498,0,23.62
20,0.3167,718,707,51.662,32.433,51.662,0,23.21
21,0.3333,718,710,56.809,34.120,56.809,0,23.34
22,0.3500,718,708,61.211,35.651,61.213,0,24.37
23,0.3667,718,713,65.825,36.924,65.830,0,23.69
24,0.3833,718,711,68.479,37.963,68.491,0,23.25
25,0.4000,718,715,69.012,38.704,69.059,0,23.66
26,0.4167,718,716,68.789,39.185,68.882,0,23.15
27,0.4333,718,717,68.792,39.496,68.945,0,22.77
28,0.4500,718,715,69.207,39.692,70.813,0,22.18
29,0.4667,718,715,72.915,39.920,75.748,0,21.89
30,0.4833,718,715,78.934,40.284,83.935,0,23.21
31,0.5000,718,713,85.202,40.873,94.284,0,334.30
32,0.5167,718,709,91.646,41.658,104.493,0,18.52
33,0.5333,718,707,98.315,42.698,114.428,0,21.29
34,0.5500,718,703,105.695,43.981,123.975,0,21.95
35,0.5667,718,700,113.919,45.515,133.048,0,21.28
36,0.5833,718,701,122.368,47.302,141.585,0,19.94
37,0.6000,718,700,131.048,49.338,149.555,0,22.45
38,0.6167,718,699,139.963,51.630,156.957,0,19.32
39,0.6333,718,696,149.118,54.142,163.826,0,20.41
40,0.6500,718,696,158.516,56.853,170.231,0,18.69
41,0.6667,718,702,168.162,59.765,176.277,0,20.03
42,0.6833,718,701,178.057,62.851,184.028,0,18.69
43,0.7000,718,702,188.205,66.110,194.418,0,20.27
44,0.7167,718,704,198.607,69.546,205.052,0,18.59
45,0.7333,718,703,209.266,73.168,215.933,0,19.11
46,0.7500,718,706,220.182,76.988,227.063,0,19.60
47,0.7667,718,701,231.357,80.977,238.445,0,17.79
48,0.7833,718,707,242.793,85.149,250.081,0,18.67
49,0.8000,718,711,254.490,89.498,261.971,0,20.24
50,0.8167,718,710,266.447,94.046,274.115,0,18.90
51,0.8333,718,709,278.664,98.768,286.514,0,18.80
52,0.8500,718,711,291.141,103.736,299.168,0,19.28
53,0.8667,718,714,303.879,108.827,312.077,0,19.00
54,0.8833,718,715,316.877,114.080,325.240,0,18.48
55,0.9000,718,717,330.134,119.522,338.658,0,20.95
56,0.9167,718,717,343.652,125.100,352.332,0,18.74
57,0.9333,718,716,345.325,130.800,353.976,0,17.95
58,0.9500,718,716,349.936,136.685,358.922,0,18.70
59,0.9667,718,715,358.352,142.777,369.403,0,18.52
60,0.9833,718,714,370.246,149.071,381.382,0,18.21
61,1.0000,718,709,384.103,155.533,393.733,0,344.52
62,1.0167,718,707,386.028,162.213,397.198,0,15.93
63,1.0333,718,704,383.441,169.112,409.082,0,17.49
64,1.0500,718,700,382.212,176.227,420.485,0,17.51
65,1.0667,718,699,381.611,183.517,431.470,0,16.97
66,1.0833,718,695,382.879,190.974,442.143,0,17.74
67,1.1000,718,698,382.947,198.593,445.071,0,18.62
68,1.1167,718,697,392.829,206.323,445.994,0,16.35
69,1.1333,718,690,397.459,214.114,450.079,0,16.61
70,1.1500,718,691,391.984,221.925,457.044,0,16.50
71,1.1667,718,690,395.454,229.800,465.888,0,17.53
72,1.1833,718,693,409.479,237.699,475.110,0,17.98
73,1.2000,718,694,420.559,245.514,483.207,0,17.78
74,1.2167,718,691,419.556,253.227,488.789,0,16.00
75,1.2333,718,687,427.826,260.813,491.461,0,15.87
76,1.2500,718,684,424.544,268.133,492.222,0,16.30
77,1.2667,718,680,434.329,275.132,492.438,0,15.95
78,1.2833,718,685,433.800,281.549,493.758,0,16.04
79,1.3000,718,682,435.920,287.320,497.539,0,18.41
80,1.3167,718,680,448.582,292.543,504.335,0,16.04
81,1.3333,718,680,450.181,297.081,513.686,0,16.93
82,1.3500,718,681,450.548,301.057,523.312,0,16.52
83,1.3667,718,679,450.075,304.491,531.821,0,16.09
84,1.3833,718,677,450.316,307.585,537.929,0,17.16
85,1.4000,718,672,457.943,310.336,541.037,0,18.17
86,1.4167,718,678,457.957,312.906,541.838,0,16.47
87,1.4333,718,673,465.701,315.302,542.211,0,16.55
88,1.4500,718,670,466.077,317.274,544.363,0,16.56
89,1.4667,718,669,463.341,319.087,549.699,0,16.52
90,1.4833,718,668,465.329,320.861,556.788,0,16.83
91,1.5000,718,663,465.372,322.649,565.674,0,17.99
92,1.5167,718,662,464.829,324.332,574.017,0,16.91
93,1.5333,718,660,465.468,326.001,579.443,0,16.04
94,1.5500,718,658,465.486,327.666,580.282,0,16.61
95,1.5667,718,655,465.600,329.224,580.737,0,16.61
96,1.5833,718,653,465.598,330.725,582.059,0,17.32
97,1.6000,718,644,467.580,332.167,585.150,0,18.45
98,1.6167,718,641,467.839,333.506,591.557,0,16.60
99,1.6333,718,640,467.710,334.747,599.897,0,17.16
100,1.6500,718,630,466.289,335.966,608.137,0,17.00
101,1.6667,718,620,465.495,337.219,613.720,0,16.99
102,1.6833,718,617,465.482,338.451,615.072,0,17.01
103,1.7000,718,608,465.485,339.656,615.213,0,18.99
104,1.7167,718,603,465.489,340.801,616.354,0,17.47
105,1.7333,718,600,465.498,341.926,619.997,0,17.13
106,1.7500,718,605,465.494,343.018,625.548,0,17.34
107,1.7667,718,589,465.499,343.985,632.326,0,16.94
108,1.7833,718,582,465.489,344.840,639.168,0,16.76
109,1.8000,718,574,465.488,345.562,644.568,0,18.75
110,1.8167,718,562,465.496,346.153,647.746,0,17.62
111,1.8333,718,554,465.485,346.648,648.980,0,17.32
112,1.8500,718,532,465.489,347.101,649.489,0,17.59
113,1.8667,718,526,465.529,347.526,649.617,0,17.61
114,1.8833,718,497,465.486,347.929,651.069,0,16.92
115,1.9000,718,495,465.486,348.264,655.526,0,18.29
116,1.9167,718,482,465.486,348.600,662.267,0,16.73
