joint,pieceA,pieceB,nx,ny,nz,areaSqCm,breakPass,utilisationAfterCut,aCz,bCz
0,0,1,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
1,0,2892,0.0000,1.0000,0.0000,143.500,-1,0.0000,7.000,7.000
2,4271,0,0.0000,1.0000,0.0000,66.625,-1,0.0000,3.250,7.000
3,0,4273,0.0000,-1.0000,0.0000,66.625,-1,0.0000,7.000,10.750
4,0,15,0.0000,0.0000,1.0000,220.375,-1,0.0083,7.000,18.250
5,0,16,0.0000,0.0000,1.0000,220.375,-1,0.0085,7.000,18.250
6,1,2,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
7,4271,1,0.0000,1.0000,0.0000,66.625,-1,0.0000,3.250,7.000
8,1,4273,0.0000,-1.0000,0.0000,66.625,-1,0.0000,7.000,10.750
9,1,17,0.0000,0.0000,1.0000,220.375,-1,0.0083,7.000,18.250
10,1,18,0.0000,0.0000,1.0000,220.375,-1,0.0065,7.000,18.250
11,2,3,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
12,2,19,0.0000,0.0000,1.0000,220.375,-1,0.0042,7.000,18.250
13,2,20,0.0000,0.0000,1.0000,220.375,-1,0.0069,7.000,18.250
14,3,4,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
15,4395,3,0.0000,1.0000,0.0000,139.750,-1,0.0000,3.250,7.000
16,3,4397,0.0000,-1.0000,0.0000,139.750,-1,0.0000,7.000,10.750
17,3,21,0.0000,0.0000,1.0000,220.375,-1,0.0081,7.000,18.250
18,3,22,0.0000,0.0000,1.0000,220.375,-1,0.0081,7.000,18.250
19,4,5,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
20,4,23,0.0000,0.0000,1.0000,220.375,-1,0.0069,7.000,18.250
21,4,24,0.0000,0.0000,1.0000,220.375,-1,0.0043,7.000,18.250
22,5,6,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
23,4519,5,0.0000,1.0000,0.0000,66.625,-1,0.0000,3.250,7.000
24,5,4521,0.0000,-1.0000,0.0000,66.625,-1,0.0000,7.000,10.750
25,5,25,0.0000,0.0000,1.0000,220.375,-1,0.0069,7.000,18.250
26,5,26,0.0000,0.0000,1.0000,220.375,-1,0.0081,7.000,18.250
27,6,7,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
28,4519,6,0.0000,1.0000,0.0000,66.625,-1,0.0000,3.250,7.000
29,6,4521,0.0000,-1.0000,0.0000,66.625,-1,0.0000,7.000,10.750
30,6,27,0.0000,0.0000,1.0000,220.375,-1,0.0081,7.000,18.250
31,6,28,0.0000,0.0000,1.0000,220.375,-1,0.0069,7.000,18.250
32,7,8,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
33,7,29,0.0000,0.0000,1.0000,220.375,-1,0.0043,7.000,18.250
34,7,30,0.0000,0.0000,1.0000,220.375,-1,0.0069,7.000,18.250
35,8,9,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
36,4643,8,0.0000,1.0000,0.0000,139.750,-1,0.0000,3.250,7.000
37,8,4645,0.0000,-1.0000,0.0000,139.750,-1,0.0000,7.000,10.750
38,8,31,0.0000,0.0000,1.0000,220.375,-1,0.0081,7.000,18.250
39,8,32,0.0000,0.0000,1.0000,220.375,-1,0.0081,7.000,18.250
40,9,10,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
41,9,33,0.0000,0.0000,1.0000,220.375,-1,0.0069,7.000,18.250
42,9,34,0.0000,0.0000,1.0000,220.375,-1,0.0043,7.000,18.250
43,10,11,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
44,4767,10,0.0000,1.0000,0.0000,66.625,-1,0.0000,3.250,7.000
45,10,4769,0.0000,-1.0000,0.0000,66.625,-1,0.0000,7.000,10.750
46,10,35,0.0000,0.0000,1.0000,220.375,-1,0.0069,7.000,18.250
47,10,36,0.0000,0.0000,1.0000,220.375,-1,0.0081,7.000,18.250
48,11,12,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
49,4767,11,0.0000,1.0000,0.0000,66.625,-1,0.0000,3.250,7.000
50,11,4769,0.0000,-1.0000,0.0000,66.625,-1,0.0000,7.000,10.750
51,11,37,0.0000,0.0000,1.0000,220.375,-1,0.0081,7.000,18.250
52,11,38,0.0000,0.0000,1.0000,220.375,-1,0.0069,7.000,18.250
53,12,13,1.0000,0.0000,0.0000,143.500,-1,0.0000,7.000,7.000
