piece,material,grounded,massKg,support,released,removed,cx,cy,cz
0,StructuralConcrete,1,15.1536,Grounded,0,0,0.000,0.000,0.000
1,StructuralConcrete,1,15.1536,Grounded,0,0,45.000,0.000,-0.000
2,StructuralConcrete,1,15.1536,Grounded,0,0,90.000,0.000,-0.000
3,StructuralConcrete,1,15.1536,Grounded,0,0,135.000,0.000,-0.000
4,StructuralConcrete,1,15.1536,Grounded,0,0,180.000,0.000,-0.000
5,StructuralConcrete,1,15.1536,Grounded,0,0,225.000,0.000,-0.000
6,StructuralConcrete,1,15.1536,Grounded,0,0,270.000,0.000,-0.000
7,StructuralConcrete,1,15.1536,Grounded,0,0,315.000,0.000,-0.000
8,StructuralConcrete,1,15.1536,Grounded,0,0,360.000,0.000,-0.000
9,StructuralConcrete,1,15.1536,Grounded,0,0,405.000,0.000,-0.000
10,StructuralConcrete,1,15.1536,Grounded,0,0,450.000,0.000,-0.000
11,StructuralConcrete,1,15.1536,Grounded,0,0,495.000,0.000,-0.000
12,StructuralConcrete,1,15.1536,Grounded,0,0,540.000,0.000,-0.000
13,StructuralConcrete,1,15.1536,Grounded,0,0,585.000,0.000,-0.000
14,StructuralConcrete,1,7.4046,Grounded,0,0,630.000,0.000,-0.000
15,ClayBrick,0,2.7216,Supported,0,0,0.000,0.000,15.000
16,ClayBrick,0,2.7216,Supported,0,0,22.500,0.000,15.000
17,ClayBrick,0,2.7216,Supported,0,0,45.000,0.000,15.000
18,ClayBrick,0,2.7216,Supported,0,0,67.500,0.000,15.000
19,ClayBrick,0,2.7216,Supported,0,0,90.000,0.000,15.000
20,ClayBrick,0,2.7216,Supported,0,0,112.500,0.000,15.000
21,ClayBrick,0,2.7216,Supported,0,0,135.000,0.000,15.000
22,ClayBrick,0,2.7216,Supported,0,0,157.500,0.000,15.000
23,ClayBrick,0,2.7216,Supported,0,0,180.000,0.000,15.000
24,ClayBrick,0,2.7216,Supported,0,0,202.500,0.000,15.000
25,ClayBrick,0,2.7216,Supported,0,0,225.000,0.000,15.000
