piece,released,removed,laidX,laidY,laidZ,finalX,finalY,finalZ,displacementCm,dropCm
0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,0,0,45.000,0.000,-0.000,45.000,0.000,-0.000,0.000,0.000
2,0,0,90.000,0.000,-0.000,90.000,0.000,-0.000,0.000,0.000
3,0,0,135.000,0.000,-0.000,135.000,0.000,-0.000,0.000,0.000
4,0,0,180.000,0.000,-0.000,180.000,0.000,-0.000,0.000,0.000
5,0,0,225.000,0.000,-0.000,225.000,0.000,-0.000,0.000,0.000
6,0,0,270.000,0.000,-0.000,270.000,0.000,-0.000,0.000,0.000
7,0,0,315.000,0.000,-0.000,315.000,0.000,-0.000,0.000,0.000
8,0,0,360.000,0.000,-0.000,360.000,0.000,-0.000,0.000,0.000
9,0,0,405.000,0.000,-0.000,405.000,0.000,-0.000,0.000,0.000
10,0,0,450.000,0.000,-0.000,450.000,0.000,-0.000,0.000,0.000
11,0,0,495.000,0.000,-0.000,495.000,0.000,-0.000,0.000,0.000
12,0,0,540.000,0.000,-0.000,540.000,0.000,-0.000,0.000,0.000
13,0,0,585.000,0.000,-0.000,585.000,0.000,-0.000,0.000,0.000
14,0,0,630.000,0.000,-0.000,630.000,0.000,-0.000,0.000,0.000
15,0,0,0.000,0.000,15.000,0.000,0.000,15.000,0.000,0.000
16,0,0,22.500,0.000,15.000,22.500,0.000,15.000,0.000,0.000
17,0,0,45.000,0.000,15.000,45.000,0.000,15.000,0.000,0.000
18,0,0,67.500,0.000,15.000,67.500,0.000,15.000,0.000,0.000
19,0,0,90.000,0.000,15.000,90.000,0.000,15.000,0.000,0.000
20,0,0,112.500,0.000,15.000,112.500,0.000,15.000,0.000,0.000
21,0,0,135.000,0.000,15.000,135.000,0.000,15.000,0.000,0.000
22,0,0,157.500,0.000,15.000,157.500,0.000,15.000,0.000,0.000
23,0,0,180.000,0.000,15.000,180.000,0.000,15.000,0.000,0.000
24,0,0,202.500,0.000,15.000,202.500,0.000,15.000,0.000,0.000
25,0,0,225.000,0.000,15.000,225.000,0.000,15.000,0.000,0.000
26,0,0,247.500,0.000,15.000,247.500,0.000,15.000,0.000,0.000
27,0,0,270.000,0.000,15.000,270.000,0.000,15.000,0.000,0.000
28,0,0,292.500,0.000,15.000,292.500,0.000,15.000,0.000,0.000
29,0,0,315.000,0.000,15.000,315.000,0.000,15.000,0.000,0.000
30,0,0,337.500,0.000,15.000,337.500,0.000,15.000,0.000,0.000
31,0,0,360.000,0.000,15.000,360.000,0.000,15.000,0.000,0.000
32,0,0,382.500,0.000,15.000,382.500,0.000,15.000,0.000,0.000
33,0,0,405.000,0.000,15.000,405.000,0.000,15.000,0.000,0.000
34,0,0,427.500,0.000,15.000,427.500,0.000,15.000,0.000,0.000
35,0,0,450.000,0.000,15.000,450.000,0.000,15.000,0.000,0.000
36,0,0,472.500,0.000,15.000,472.500,0.000,15.000,0.000,0.000
37,0,0,495.000,0.000,15.000,495.000,0.000,15.000,0.000,0.000
38,0,0,517.500,0.000,15.000,517.500,0.000,15.000,0.000,0.000
39,0,0,540.000,0.000,15.000,540.000,0.000,15.000,0.000,0.000
40,0,0,562.500,0.000,15.000,562.500,0.000,15.000,0.000,0.000
41,0,0,585.000,0.000,15.000,585.000,0.000,15.000,0.000,0.000
42,0,0,607.500,0.000,15.000,607.500,0.000,15.000,0.000,0.000
43,0,0,630.000,0.000,15.000,630.000,0.000,15.000,0.000,0.000
