frame,secondsSinceCut,released,moving,maxDropCm,meanDropCm,maxDisplacementCm,belowGround,realMsSinceLastFrame
1,0.0000,974,0,0.000,0.000,0.000,0,48.03
2,0.0167,974,974,0.272,0.272,0.272,0,354.81
3,0.0333,974,974,0.816,0.816,0.816,0,19.29
4,0.0500,974,974,1.633,1.626,1.633,0,22.06
5,0.0667,974,966,2.721,2.700,2.721,0,23.95
6,0.0833,974,965,4.465,4.043,4.465,0,25.24
7,0.1000,974,966,6.735,5.652,6.735,0,24.90
8,0.1167,974,968,9.117,7.524,9.118,0,23.79
9,0.1333,974,969,11.879,9.598,11.880,0,24.22
10,0.1500,974,937,14.899,11.738,14.901,0,24.56
11,0.1667,974,961,18.274,13.955,18.277,0,25.31
12,0.1833,974,949,21.870,16.183,21.875,0,25.18
13,0.2000,974,946,25.730,18.395,25.736,0,27.39
14,0.2167,974,937,29.893,20.564,29.901,0,25.04
15,0.2333,974,937,34.308,22.704,34.319,0,26.42
16,0.2500,974,942,38.914,24.799,38.930,0,340.93
17,0.2667,974,949,43.791,26.834,43.813,0,24.57
18,0.2833,974,953,48.946,28.773,48.975,0,27.60
19,0.3000,974,949,54.337,30.633,54.376,0,30.91
20,0.3167,974,956,59.703,32.496,59.754,0,30.00
21,0.3333,974,955,64.758,34.355,64.827,0,29.85
22,0.3500,974,959,68.856,36.052,68.950,0,32.23
23,0.3667,974,958,72.099,37.580,72.226,0,31.96
24,0.3833,974,960,74.446,38.832,74.602,0,31.14
25,0.4000,974,966,76.180,39.853,76.366,0,33.52
26,0.4167,974,967,77.273,40.647,77.480,0,29.97
27,0.4333,974,970,77.780,41.235,78.014,0,30.43
28,0.4500,974,970,77.912,41.713,78.185,0,29.07
29,0.4667,974,969,78.130,42.252,78.436,0,29.21
30,0.4833,974,968,78.493,42.893,83.568,0,27.38
31,0.5000,974,964,81.299,43.696,93.863,0,349.89
32,0.5167,974,957,84.980,44.746,104.038,0,24.39
33,0.5333,974,959,91.645,46.013,113.961,0,26.22
34,0.5500,974,952,99.555,47.523,123.524,0,25.85
35,0.5667,974,951,107.725,49.305,132.641,0,27.12
36,0.5833,974,947,116.155,51.309,141.250,0,26.57
37,0.6000,974,952,124.843,53.560,149.317,0,27.84
38,0.6167,974,956,133.790,56.034,156.837,0,24.90
39,0.6333,974,952,142.994,58.720,163.837,0,25.62
40,0.6500,974,953,152.456,61.611,170.376,0,24.77
41,0.6667,974,957,162.173,64.704,176.548,0,24.85
42,0.6833,974,956,172.146,67.961,182.899,0,25.51
43,0.7000,974,962,182.374,71.368,193.703,0,27.15
44,0.7167,974,964,192.857,74.938,204.744,0,24.79
45,0.7333,974,965,203.595,78.711,216.021,0,26.13
46,0.7500,974,966,214.586,82.652,227.534,0,25.27
47,0.7667,974,966,225.830,86.748,239.285,0,24.90
48,0.7833,974,970,237.327,91.023,251.273,0,25.51
49,0.8000,974,970,249.076,95.479,263.498,0,27.60
50,0.8167,974,967,261.078,100.103,275.960,0,25.23
51,0.8333,974,968,273.331,104.911,288.661,0,25.58
52,0.8500,974,972,285.837,109.878,301.599,0,25.31
53,0.8667,974,970,298.593,114.969,314.776,0,24.96
54,0.8833,974,970,311.601,120.125,328.192,0,25.30
55,0.9000,974,971,324.860,125.460,341.847,0,26.64
56,0.9167,974,972,338.369,130.997,355.742,0,24.95
57,0.9333,974,972,352.130,136.668,369.877,0,24.68
58,0.9500,974,972,360.103,142.451,377.531,0,25.17
59,0.9667,974,973,364.396,148.395,384.117,0,24.14
60,0.9833,974,968,367.933,154.468,387.381,0,24.09
61,1.0000,974,968,367.848,160.706,386.727,0,345.34
62,1.0167,974,967,374.126,167.142,396.259,0,21.55
63,1.0333,974,961,379.424,173.759,408.552,0,23.13
64,1.0500,974,958,378.623,180.521,420.369,0,23.15
65,1.0667,974,955,380.991,187.454,431.747,0,21.86
66,1.0833,974,953,382.888,194.554,442.761,0,22.62
67,1.1000,974,957,386.861,201.774,446.173,0,26.34
68,1.1167,974,958,390.317,209.112,445.519,0,21.71
69,1.1333,974,957,387.323,216.504,448.737,0,24.34
70,1.1500,974,961,391.963,224.015,457.366,0,26.05
71,1.1667,974,958,392.965,231.596,468.995,0,25.19
72,1.1833,974,955,401.349,239.152,481.640,0,24.57
73,1.2000,974,953,414.574,246.637,492.282,0,29.41
74,1.2167,974,953,420.374,253.957,497.636,0,25.46
75,1.2333,974,950,432.970,261.043,499.052,0,24.27
76,1.2500,974,947,439.454,267.734,498.165,0,27.50
77,1.2667,974,950,442.430,274.105,497.886,0,27.51
78,1.2833,974,952,441.431,280.027,501.035,0,25.12
79,1.3000,974,952,439.900,285.392,509.006,0,26.98
80,1.3167,974,943,442.890,290.084,521.070,0,25.96
81,1.3333,974,945,442.820,294.279,534.756,0,25.47
82,1.3500,974,942,441.631,298.076,547.045,0,24.63
83,1.3667,974,940,450.376,301.579,555.677,0,24.32
84,1.3833,974,941,460.590,304.869,558.297,0,24.04
85,1.4000,974,939,470.956,307.983,557.039,0,26.38
86,1.4167,974,934,484.420,310.932,555.391,0,24.28
87,1.4333,974,935,498.143,313.792,556.131,0,23.84
88,1.4500,974,936,500.732,316.444,561.132,0,26.81
89,1.4667,974,931,497.917,318.904,570.480,0,26.35
90,1.4833,974,928,495.872,321.242,582.441,0,23.71
91,1.5000,974,920,495.827,323.474,594.284,0,26.11
92,1.5167,974,919,496.281,325.624,603.473,0,26.62
93,1.5333,974,915,508.347,327.764,608.659,0,23.63
94,1.5500,974,904,516.923,329.827,610.165,0,24.47
95,1.5667,974,901,516.964,331.821,609.865,0,23.63
96,1.5833,974,897,519.711,333.754,610.482,0,24.96
97,1.6000,974,884,517.865,335.601,614.470,0,26.12
98,1.6167,974,882,517.983,337.396,622.920,0,25.35
99,1.6333,974,883,524.894,339.112,635.055,0,25.03
100,1.6500,974,874,523.358,340.728,648.602,0,26.82
101,1.6667,974,876,522.082,342.158,659.790,0,26.05
102,1.6833,974,862,521.566,343.408,662.908,0,26.58
103,1.7000,974,851,521.177,344.588,665.767,0,28.86
104,1.7167,974,845,521.065,345.671,668.468,0,26.38
105,1.7333,974,843,520.999,346.670,671.007,0,25.90
106,1.7500,974,833,521.149,347.582,673.377,0,26.05
107,1.7667,974,824,521.573,348.447,675.599,0,26.32
108,1.7833,974,807,522.252,349.246,677.705,0,27.04
109,1.8000,974,804,523.232,349.932,679.735,0,29.57
110,1.8167,974,790,524.468,350.563,681.732,0,26.73
111,1.8333,974,785,525.958,351.156,683.747,0,26.01
112,1.8500,974,765,527.701,351.680,685.083,0,25.90
113,1.8667,974,759,528.811,352.165,686.352,0,28.06
114,1.8833,974,737,528.831,352.594,687.048,0,26.40
115,1.9000,974,700,529.125,352.998,687.827,0,28.24
116,1.9167,974,678,529.660,353.397,688.850,0,26.62
117,1.9333,974,670,530.403,353.769,690.267,0,26.43
118,1.9500,974,662,531.232,354.139,690.785,0,27.15
119,1.9667,974,642,532.235,354.492,691.087,0,25.81
120,1.9833,974,608,532.995,354.803,691.865,0,27.18
121,2.0000,974,572,532.925,355.118,693.168,0,358.45
122,2.0167,974,559,532.994,355.431,694.973,0,23.81
123,2.0333,974,528,532.994,355.732,696.924,0,26.35
124,2.0500,974,521,532.994,356.050,698.866,0,24.86
125,2.0667,974,512,532.994,356.397,700.999,0,26.05
126,2.0833,974,488,532.994,356.743,703.205,0,24.76
127,2.1000,974,469,532.994,357.075,705.591,0,28.00
128,2.1167,974,440,532.994,357.385,708.104,0,24.08
129,2.1333,974,431,532.994,357.659,710.736,0,24.53
130,2.1500,974,430,532.994,357.920,712.741,0,24.25
131,2.1667,974,422,532.994,358.130,713.036,0,24.34
132,2.1833,974,400,532.994,358.330,713.169,0,24.03
133,2.2000,974,382,532.994,358.518,713.201,0,25.83
134,2.2167,974,370,532.994,358.710,713.098,0,24.49
135,2.2333,974,363,532.994,358.910,712.871,0,25.09
136,2.2500,974,367,532.994,359.119,712.799,0,24.89
137,2.2667,974,340,532.994,359.318,712.827,0,24.48
138,2.2833,974,332,532.994,359.516,712.804,0,24.19
139,2.3000,974,316,532.994,359.691,712.807,0,25.61
140,2.3167,974,306,532.994,359.857,712.805,0,23.45
141,2.3333,974,290,532.994,360.021,712.816,0,23.17
142,2.3500,974,271,532.804,360.186,712.817,0,23.83
143,2.3667,974,274,531.794,360.356,712.817,0,23.00
144,2.3833,974,268,532.989,360.547,718.244,0,23.38
145,2.4000,974,266,532.542,360.692,725.119,0,24.82
146,2.4167,974,269,532.357,360.837,730.888,0,23.35
147,2.4333,974,257,532.266,360.979,733.772,0,22.95
148,2.4500,974,238,532.302,361.122,735.582,0,22.86
149,2.4667,974,227,532.543,361.267,736.644,0,23.01
150,2.4833,974,226,532.764,361.420,737.094,0,24.66
151,2.5000,974,226,532.948,361.573,737.163,0,24.05
152,2.5167,974,211,532.991,361.723,737.146,0,23.73
153,2.5333,974,222,532.987,361.855,737.363,0,23.28
154,2.5500,974,218,532.993,361.982,738.126,0,23.34
155,2.5667,974,202,532.991,362.108,739.480,0,23.42
156,2.5833,974,203,532.994,362.236,740.561,0,22.76
157,2.6000,974,186,532.994,362.348,742.417,0,24.49
158,2.6167,974,188,532.993,362.467,744.920,0,22.45
159,2.6333,974,173,532.993,362.588,747.993,0,22.07
160,2.6500,974,162,532.993,362.700,751.409,0,21.79
161,2.6667,974,163,532.995,362.810,755.258,0,21.87
162,2.6833,974,166,532.994,362.920,759.246,0,21.86
163,2.7000,974,170,532.994,363.020,763.186,0,23.78
164,2.7167,974,176,532.994,363.087,764.887,0,21.44
165,2.7333,974,159,532.994,363.150,765.894,0,22.06
166,2.7500,974,153,532.992,363.207,766.817,0,22.46
167,2.7667,974,140,532.993,363.257,767.641,0,21.68
168,2.7833,974,127,532.993,363.306,768.359,0,21.26
169,2.8000,974,125,532.992,363.363,768.974,0,23.59
170,2.8167,974,110,532.993,363.416,769.495,0,21.15
171,2.8333,974,111,532.995,363.468,769.939,0,21.56
172,2.8500,974,113,532.994,363.517,770.120,0,21.79
173,2.8667,974,129,532.993,363.566,770.044,0,20.65
174,2.8833,974,118,532.994,363.608,770.086,0,21.01
175,2.9000,974,124,532.994,363.637,770.049,0,22.87
176,2.9167,974,111,532.994,363.656,770.044,0,20.68
177,2.9333,974,110,532.993,363.684,770.045,0,20.90
178,2.9500,974,113,532.993,363.712,770.048,0,22.32
179,2.9667,974,102,532.993,363.730,770.053,0,20.54
180,2.9833,974,93,532.993,363.743,770.059,0,21.58
181,3.0000,974,82,532.995,363.754,770.038,0,344.28
182,3.0167,974,86,532.993,363.768,769.885,0,22.62
183,3.0333,974,83,532.993,363.780,769.865,0,22.77
184,3.0500,974,86,532.993,363.787,769.881,0,21.62
185,3.0667,974,79,532.992,363.791,769.924,0,20.22
186,3.0833,974,73,532.993,363.798,769.923,0,20.79
187,3.1000,974,72,532.993,363.805,769.917,0,22.04
188,3.1167,974,69,532.995,363.809,769.906,0,21.18
189,3.1333,974,62,532.993,363.810,769.907,0,21.06
190,3.1500,974,59,532.993,363.812,769.907,0,20.13
191,3.1667,974,51,532.994,363.814,769.907,0,20.34
192,3.1833,974,49,532.993,363.818,769.914,0,20.11
193,3.2000,974,45,532.993,363.821,769.914,0,22.77
194,3.2167,974,46,532.993,363.825,769.908,0,20.11
195,3.2333,974,41,532.995,363.828,769.922,0,20.22
196,3.2500,974,45,532.993,363.829,769.909,0,21.33
197,3.2667,974,44,532.993,363.829,769.909,0,20.02
198,3.2833,974,38,532.993,363.830,769.908,0,20.04
199,3.3000,974,36,532.993,363.832,769.908,0,23.16
200,3.3167,974,36,532.994,363.834,769.908,0,19.66
201,3.3333,974,39,532.993,363.835,769.908,0,20.91
202,3.3500,974,31,532.994,363.835,769.908,0,20.58
203,3.3667,974,25,532.994,363.835,769.908,0,21.44
204,3.3833,974,29,532.994,363.834,769.908,0,20.45
205,3.4000,974,28,532.994,363.835,769.908,0,22.08
206,3.4167,974,26,532.993,363.835,769.908,0,20.03
207,3.4333,974,19,532.993,363.835,769.908,0,19.99
208,3.4500,974,19,532.994,363.835,769.908,0,20.00
209,3.4667,974,21,532.993,363.836,769.908,0,20.15
210,3.4833,974,21,532.994,363.835,769.908,0,20.26
211,3.5000,974,22,532.995,363.835,769.908,0,21.47
212,3.5167,974,22,532.993,363.835,769.908,0,19.63
213,3.5333,974,18,532.993,363.835,769.908,0,20.12
214,3.5500,974,19,532.993,363.836,769.908,0,20.01
215,3.5667,974,18,532.994,363.836,769.908,0,19.21
216,3.5833,974,16,532.993,363.838,769.908,0,19.63
217,3.6000,974,19,532.994,363.838,769.908,0,21.77
218,3.6167,974,12,532.994,363.838,769.908,0,20.24
219,3.6333,974,15,532.993,363.838,769.908,0,19.86
220,3.6500,974,14,532.993,363.839,769.908,0,19.81
221,3.6667,974,10,532.994,363.839,769.908,0,19.76
222,3.6833,974,12,532.993,363.840,769.908,0,19.93
223,3.7000,974,15,532.993,363.841,769.908,0,21.07
224,3.7167,974,12,532.994,363.842,769.908,0,18.97
225,3.7333,974,10,532.994,363.844,769.908,0,19.57
226,3.7500,974,14,532.993,363.844,769.908,0,18.99
227,3.7667,974,11,532.995,363.844,769.908,0,20.05
228,3.7833,974,16,532.993,363.845,769.908,0,19.68
229,3.8000,974,11,532.994,363.845,769.908,0,22.49
230,3.8167,974,15,532.994,363.846,769.908,0,19.74
231,3.8333,974,21,532.993,363.846,769.908,0,20.26
232,3.8500,974,19,532.994,363.846,769.908,0,19.78
233,3.8667,974,9,532.993,363.846,769.908,0,19.88
234,3.8833,974,12,532.993,363.847,769.908,0,19.60
235,3.9000,974,13,532.993,363.847,769.908,0,21.15
236,3.9167,974,16,532.994,363.847,769.908,0,19.99
237,3.9333,974,10,532.993,363.848,769.908,0,20.68
238,3.9500,974,11,532.993,363.847,769.908,0,19.63
239,3.9667,974,7,532.993,363.848,769.908,0,19.81
240,3.9833,974,11,532.994,363.848,769.908,0,19.70
241,4.0000,974,7,532.994,363.848,769.908,0,20.92
242,4.0167,974,7,532.995,363.848,769.908,0,19.62
243,4.0333,974,11,532.993,363.848,769.908,0,19.18
244,4.0500,974,5,532.993,363.848,769.908,0,19.57
245,4.0667,974,8,532.993,363.848,769.908,0,19.71
246,4.0833,974,10,532.993,363.848,769.908,0,20.64
247,4.1000,974,7,532.992,363.849,769.908,0,21.44
248,4.1167,974,7,532.993,363.849,769.908,0,20.32
249,4.1333,974,9,532.994,363.848,769.908,0,20.01
250,4.1500,974,10,532.994,363.848,769.908,0,19.02
251,4.1667,974,12,532.993,363.849,769.908,0,20.30
252,4.1833,974,5,532.993,363.848,769.908,0,20.29
253,4.2000,974,9,532.994,363.849,769.908,0,20.84
254,4.2167,974,9,532.995,363.848,769.908,0,20.48
255,4.2333,974,7,532.994,363.849,769.908,0,20.05
256,4.2500,974,6,532.993,363.848,769.908,0,21.53
257,4.2667,974,9,532.993,363.848,769.908,0,20.29
258,4.2833,974,12,532.993,363.848,769.908,0,19.91
259,4.3000,974,7,532.994,363.848,769.908,0,20.88
260,4.3167,974,9,532.995,363.848,769.908,0,19.41
261,4.3333,974,8,532.993,363.848,769.908,0,19.94
262,4.3500,974,8,532.993,363.848,769.908,0,20.96
263,4.3667,974,9,532.993,363.848,769.908,0,19.68
264,4.3833,974,6,532.995,363.848,769.908,0,19.61
265,4.4000,974,8,532.994,363.848,769.908,0,22.37
266,4.4167,974,8,532.993,363.848,769.908,0,20.26
267,4.4333,974,9,532.993,363.848,769.908,0,19.55
268,4.4500,974,9,532.994,363.848,769.908,0,19.17
269,4.4667,974,6,532.994,363.848,769.908,0,19.54
270,4.4833,974,5,532.993,363.848,769.908,0,19.32
271,4.5000,974,8,532.993,363.848,769.908,0,21.05
272,4.5167,974,11,532.993,363.848,769.908,0,20.14
273,4.5333,974,10,532.994,363.848,769.908,0,19.66
274,4.5500,974,10,532.993,363.848,769.908,0,19.28
275,4.5667,974,8,532.994,363.848,769.908,0,19.96
276,4.5833,974,7,532.994,363.848,769.908,0,19.80
277,4.6000,974,5,532.994,363.849,769.908,0,21.36
278,4.6167,974,13,532.993,363.849,769.908,0,19.49
279,4.6333,974,11,532.993,363.849,769.908,0,19.26
280,4.6500,974,14,532.993,363.849,769.908,0,20.83
281,4.6667,974,12,532.995,363.850,769.908,0,19.56
282,4.6833,974,10,532.994,363.850,769.908,0,19.69
283,4.7000,974,12,532.993,363.850,769.908,0,21.77
284,4.7167,974,13,532.993,363.850,769.908,0,19.22
285,4.7333,974,8,532.992,363.851,769.908,0,19.61
286,4.7500,974,9,532.993,363.851,769.908,0,20.75
287,4.7667,974,9,532.994,363.851,769.908,0,19.34
288,4.7833,974,7,532.994,363.851,769.908,0,19.27
289,4.8000,974,8,532.994,363.851,769.908,0,21.29
290,4.8167,974,10,532.994,363.851,769.908,0,20.49
291,4.8333,974,9,532.993,363.851,769.908,0,20.14
292,4.8500,974,10,532.993,363.851,769.908,0,20.71
293,4.8667,974,7,532.994,363.851,769.908,0,19.42
294,4.8833,974,11,532.993,363.851,769.908,0,19.16
295,4.9000,974,7,532.994,363.851,769.908,0,21.64
296,4.9167,974,13,532.994,363.852,769.908,0,19.48
297,4.9333,974,12,532.992,363.851,769.908,0,19.20
298,4.9500,974,9,532.993,363.851,769.908,0,19.16
299,4.9667,974,11,532.994,363.851,769.908,0,19.05
300,4.9833,974,9,532.994,363.851,769.908,0,20.27
301,5.0000,974,6,532.993,363.851,769.908,0,329.87
302,5.0167,974,3,532.993,363.851,769.908,0,16.69
303,5.0333,974,6,532.994,363.851,769.908,0,19.30
304,5.0500,974,8,532.994,363.851,769.908,0,19.48
305,5.0667,974,7,532.994,363.851,769.908,0,19.77
306,5.0833,974,9,532.994,363.851,769.908,0,20.10
307,5.1000,974,9,532.994,363.851,769.908,0,21.51
308,5.1167,974,9,532.994,363.851,769.908,0,19.23
309,5.1333,974,6,532.993,363.851,769.908,0,19.44
310,5.1500,974,4,532.993,363.851,769.908,0,21.01
311,5.1667,974,12,532.994,363.851,769.908,0,20.66
312,5.1833,974,8,532.993,363.851,769.908,0,20.95
313,5.2000,974,8,532.994,363.851,769.908,0,22.35
314,5.2167,974,11,532.993,363.851,769.908,0,20.38
315,5.2333,974,7,532.993,363.851,769.908,0,20.02
316,5.2500,974,7,532.994,363.850,769.908,0,19.39
317,5.2667,974,9,532.994,363.851,769.908,0,19.60
318,5.2833,974,12,532.994,363.851,769.908,0,20.18
319,5.3000,974,11,532.993,363.851,769.908,0,21.52
320,5.3167,974,9,532.995,363.851,769.908,0,19.16
321,5.3333,974,8,532.994,363.851,769.908,0,18.80
322,5.3500,974,7,532.993,363.852,769.908,0,19.29
323,5.3667,974,8,532.993,363.852,769.908,0,19.13
324,5.3833,974,9,532.993,363.852,769.908,0,19.36
325,5.4000,974,10,532.993,363.852,769.908,0,21.23
326,5.4167,974,11,532.993,363.852,769.908,0,19.36
327,5.4333,974,7,532.994,363.852,769.908,0,19.93
328,5.4500,974,9,532.994,363.851,769.908,0,20.86
329,5.4667,974,7,532.994,363.852,769.908,0,20.60
330,5.4833,974,10,532.993,363.852,769.908,0,19.95
331,5.5000,974,8,532.992,363.852,769.908,0,22.19
332,5.5167,974,9,532.993,363.852,769.908,0,19.86
333,5.5333,974,9,532.994,363.852,769.908,0,19.41
334,5.5500,974,4,532.994,363.852,769.908,0,19.27
335,5.5667,974,10,532.994,363.852,769.908,0,19.71
336,5.5833,974,9,532.992,363.852,769.908,0,19.44
337,5.6000,974,8,532.993,363.853,769.908,0,21.39
338,5.6167,974,10,532.994,363.852,769.908,0,19.38
339,5.6333,974,9,532.994,363.852,769.908,0,18.97
340,5.6500,974,8,532.994,363.852,769.908,0,20.72
341,5.6667,974,13,532.995,363.852,769.908,0,19.69
342,5.6833,974,6,532.993,363.852,769.908,0,19.36
343,5.7000,974,8,532.993,363.852,769.908,0,20.94
344,5.7167,974,8,532.993,363.853,769.908,0,19.57
345,5.7333,974,9,532.993,363.853,769.908,0,17.78
346,5.7500,974,7,532.994,363.853,769.908,0,17.40
347,5.7667,974,7,532.995,363.853,769.908,0,17.09
348,5.7833,974,8,532.993,363.853,769.908,0,17.86
349,5.8000,974,14,532.993,363.853,769.908,0,18.88
350,5.8167,974,11,532.993,363.854,769.908,0,17.37
351,5.8333,974,8,532.993,363.854,769.908,0,17.34
352,5.8500,974,10,532.995,363.854,769.908,0,18.18
353,5.8667,974,7,532.994,363.854,769.908,0,17.03
354,5.8833,974,10,532.993,363.854,769.908,0,17.64
355,5.9000,974,11,532.994,363.854,769.908,0,20.13
356,5.9167,974,11,532.992,363.854,769.908,0,17.49
357,5.9333,974,15,532.993,363.855,769.908,0,17.95
358,5.9500,974,12,532.993,363.855,769.908,0,18.59
359,5.9667,974,10,532.994,363.855,769.908,0,18.27
360,5.9833,974,8,532.993,363.855,769.908,0,17.19
361,6.0000,974,12,532.993,363.855,769.908,0,20.42
362,6.0167,974,12,532.995,363.855,769.908,0,16.66
363,6.0333,974,8,532.994,363.855,769.908,0,16.98
364,6.0500,974,7,532.993,363.855,769.908,0,16.98
365,6.0667,974,7,532.994,363.855,769.908,0,17.51
366,6.0833,974,6,532.993,363.855,769.908,0,17.43
367,6.1000,974,6,532.994,363.855,769.908,0,18.63
368,6.1167,974,7,532.994,363.855,769.908,0,17.19
369,6.1333,974,12,532.994,363.855,769.908,0,17.24
370,6.1500,974,6,532.994,363.855,769.908,0,18.70
371,6.1667,974,8,532.994,363.855,769.908,0,17.55
372,6.1833,974,7,532.993,363.855,769.908,0,17.60
373,6.2000,974,8,532.993,363.855,769.908,0,19.77
374,6.2167,974,6,532.993,363.855,769.908,0,17.39
375,6.2333,974,8,532.993,363.855,769.908,0,17.03
376,6.2500,974,6,532.995,363.855,769.908,0,17.20
377,6.2667,974,11,532.994,363.855,769.908,0,17.15
378,6.2833,974,11,532.993,363.855,769.908,0,17.52
379,6.3000,974,12,532.993,363.856,769.908,0,19.12
380,6.3167,974,8,532.994,363.856,769.908,0,17.15
381,6.3333,974,8,532.993,363.855,769.908,0,17.19
382,6.3500,974,10,532.993,363.856,769.908,0,17.53
383,6.3667,974,8,532.994,363.855,769.908,0,17.74
384,6.3833,974,7,532.993,363.855,769.908,0,18.12
385,6.4000,974,5,532.994,363.855,769.908,0,19.47
