piece,material,face,massKg,minX,minY,minZ,maxX,maxY,maxZ,joints,supportAsLaid,kind
2294,ClayBrick,back,1.2975,0.0000,326.2500,277.5000,10.2500,336.5000,284.0000,4,Supported,wythe
2295,ClayBrick,back,2.7216,11.2500,326.2500,277.5000,32.7500,336.5000,284.0000,6,Supported,wythe
2296,ClayBrick,back,2.7216,33.7500,326.2500,277.5000,55.2500,336.5000,284.0000,7,Supported,wythe
2297,ClayBrick,back,1.2975,56.2500,326.2500,277.5000,66.5000,336.5000,284.0000,4,Supported,wythe
2298,ClayBrick,back,1.2975,135.0000,326.2500,277.5000,145.2500,336.5000,284.0000,4,Supported,wythe
2299,ClayBrick,back,2.7216,146.2500,326.2500,277.5000,167.7500,336.5000,284.0000,7,Supported,wythe
2300,ClayBrick,back,1.2975,168.7500,326.2500,277.5000,179.0000,336.5000,284.0000,4,Supported,wythe
2301,ClayBrick,back,1.2975,247.5000,326.2500,277.5000,257.7500,336.5000,284.0000,4,Supported,wythe
2302,ClayBrick,back,2.7216,258.7500,326.2500,277.5000,280.2500,336.5000,284.0000,7,Supported,wythe
2303,ClayBrick,back,1.2975,281.2500,326.2500,277.5000,291.5000,336.5000,284.0000,4,Supported,wythe
2304,ClayBrick,back,1.2975,360.0000,326.2500,277.5000,370.2500,336.5000,284.0000,4,Supported,wythe
2305,ClayBrick,back,2.7216,371.2500,326.2500,277.5000,392.7500,336.5000,284.0000,7,Supported,wythe
2306,ClayBrick,back,1.2975,393.7500,326.2500,277.5000,404.0000,336.5000,284.0000,4,Supported,wythe
2307,ClayBrick,back,1.2975,472.5000,326.2500,277.5000,482.7500,336.5000,284.0000,4,Supported,wythe
2308,ClayBrick,back,2.7216,483.7500,326.2500,277.5000,505.2500,336.5000,284.0000,7,Supported,wythe
2309,ClayBrick,back,1.2975,506.2500,326.2500,277.5000,516.5000,336.5000,284.0000,4,Supported,wythe
2310,ClayBrick,back,1.2975,585.0000,326.2500,277.5000,595.2500,336.5000,284.0000,4,Supported,wythe
2311,ClayBrick,back,2.7216,596.2500,326.2500,277.5000,617.7500,336.5000,284.0000,7,Supported,wythe
2312,ClayBrick,back,2.7216,618.7500,326.2500,277.5000,640.2500,336.5000,284.0000,6,Supported,wythe
2313,ClayBrick,back,1.2975,641.2500,326.2500,277.5000,651.5000,336.5000,284.0000,4,Supported,wythe
2314,StructuralConcrete,back,10.6333,67.5000,326.2500,277.5000,134.0000,336.5000,284.0000,7,Supported,wythe
2315,StructuralConcrete,back,10.6333,180.0000,326.2500,277.5000,246.5000,336.5000,284.0000,7,Supported,wythe
2316,StructuralConcrete,back,10.6333,292.5000,326.2500,277.5000,359.0000,336.5000,284.0000,7,Supported,wythe
2317,StructuralConcrete,back,10.6333,405.0000,326.2500,277.5000,471.5000,336.5000,284.0000,7,Supported,wythe
2318,StructuralConcrete,back,10.6333,517.5000,326.2500,277.5000,584.0000,336.5000,284.0000,7,Supported,wythe
3965,ClayBrick,chimneyEnd,1.2975,641.2500,11.2500,277.5000,651.5000,21.5000,284.0000,4,Supported,wythe
3966,ClayBrick,chimneyEnd,2.7216,641.2500,22.5000,277.5000,651.5000,44.0000,284.0000,7,Supported,wythe
3967,ClayBrick,chimneyEnd,2.7216,641.2500,45.0000,277.5000,651.5000,66.5000,284.0000,7,Supported,wythe
3968,ClayBrick,chimneyEnd,2.7216,641.2500,135.0000,277.5000,651.5000,156.5000,284.0000,6,Supported,wythe
3969,ClayBrick,chimneyEnd,2.7216,641.2500,157.5000,277.5000,651.5000,179.0000,284.0000,6,Supported,wythe
3970,ClayBrick,chimneyEnd,2.7216,641.2500,180.0000,277.5000,651.5000,201.5000,284.0000,6,Supported,wythe
3971,ClayBrick,chimneyEnd,2.7216,641.2500,270.0000,277.5000,651.5000,291.5000,284.0000,7,Supported,wythe
3972,ClayBrick,chimneyEnd,2.7216,641.2500,292.5000,277.5000,651.5000,314.0000,284.0000,7,Supported,wythe
3973,ClayBrick,chimneyEnd,1.2975,641.2500,315.0000,277.5000,651.5000,325.2500,284.0000,4,Supported,wythe
3974,StructuralConcrete,chimneyEnd,10.6333,641.2500,67.5000,277.5000,651.5000,134.0000,284.0000,8,Supported,wythe
3975,StructuralConcrete,chimneyEnd,10.6333,641.2500,202.5000,277.5000,651.5000,269.0000,284.0000,8,Supported,wythe
4346,ClayBrick,back,2.7216,33.7500,337.5000,277.5000,55.2500,347.7500,284.0000,3,Supported,pilaster
4470,ClayBrick,back,2.7216,146.2500,337.5000,277.5000,167.7500,347.7500,284.0000,3,Supported,pilaster
4594,ClayBrick,back,2.7216,258.7500,337.5000,277.5000,280.2500,347.7500,284.0000,3,Supported,pilaster
4718,ClayBrick,back,2.7216,371.2500,337.5000,277.5000,392.7500,347.7500,284.0000,3,Supported,pilaster
4842,ClayBrick,back,2.7216,483.7500,337.5000,277.5000,505.2500,347.7500,284.0000,3,Supported,pilaster
4966,ClayBrick,back,2.7216,596.2500,337.5000,277.5000,617.7500,347.7500,284.0000,3,Supported,pilaster
