frame,secondsSinceCut,piece,x,y,z,dropCm
6,0.0833,873,0.000,0.000,280.918,4.082
6,0.0833,874,22.500,0.000,280.918,4.082
6,0.0833,875,45.000,0.000,280.918,4.082
6,0.0833,876,67.500,0.000,280.918,4.082
6,0.0833,877,123.750,0.000,280.918,4.082
6,0.0833,878,135.000,0.000,280.918,4.082
6,0.0833,879,157.500,0.000,280.918,4.082
6,0.0833,880,180.000,0.000,280.918,4.082
6,0.0833,881,236.250,0.000,280.918,4.082
6,0.0833,882,247.500,0.000,280.918,4.082
6,0.0833,883,270.000,0.000,280.918,4.082
6,0.0833,884,292.500,0.000,280.918,4.082
6,0.0833,885,348.750,0.000,280.918,4.082
6,0.0833,886,360.000,0.000,280.918,4.082
6,0.0833,887,382.500,0.000,280.918,4.082
6,0.0833,888,405.000,0.000,280.918,4.082
6,0.0833,889,461.250,0.000,280.918,4.082
6,0.0833,890,472.500,0.000,280.918,4.082
6,0.0833,891,495.000,0.000,280.918,4.082
6,0.0833,892,517.500,0.000,280.918,4.082
6,0.0833,893,573.750,0.000,280.918,4.082
6,0.0833,894,585.000,0.000,280.918,4.082
6,0.0833,895,607.500,0.000,280.918,4.082
6,0.0833,896,630.000,0.000,280.918,4.082
6,0.0833,897,0.000,0.000,288.418,4.082
6,0.0833,898,11.250,0.000,288.418,4.082
6,0.0833,899,33.750,0.000,288.418,4.082
6,0.0833,900,56.250,0.000,288.418,4.082
6,0.0833,901,123.750,0.000,288.418,4.082
6,0.0833,902,146.250,0.000,288.418,4.082
6,0.0833,903,168.750,0.000,288.418,4.082
6,0.0833,904,236.250,0.000,288.418,4.082
6,0.0833,905,258.750,0.000,288.418,4.082
6,0.0833,906,281.250,0.000,288.418,4.082
6,0.0833,907,348.750,0.000,288.418,4.082
6,0.0833,908,371.250,0.000,288.418,4.082
6,0.0833,909,393.750,0.000,288.418,4.082
6,0.0833,910,461.250,0.000,288.418,4.082
6,0.0833,911,483.750,0.000,288.418,4.082
6,0.0833,912,506.250,0.000,288.418,4.082
6,0.0833,913,573.750,0.000,288.418,4.082
6,0.0833,914,596.250,0.000,288.418,4.082
6,0.0833,915,618.750,0.000,288.418,4.082
6,0.0833,916,641.250,0.000,288.418,4.082
6,0.0833,917,0.000,0.000,295.918,4.082
6,0.0833,918,22.500,0.000,295.918,4.082
6,0.0833,919,45.000,0.000,295.918,4.082
6,0.0833,920,67.500,0.000,295.918,4.082
6,0.0833,921,123.750,0.000,295.918,4.082
6,0.0833,922,135.000,0.000,295.918,4.082
6,0.0833,923,157.500,0.000,295.918,4.082
6,0.0833,924,180.000,0.000,295.918,4.082
6,0.0833,925,236.250,0.000,295.918,4.082
6,0.0833,926,247.500,0.000,295.918,4.082
6,0.0833,927,270.000,0.000,295.918,4.082
6,0.0833,928,292.500,0.000,295.918,4.082
6,0.0833,929,348.750,0.000,295.918,4.082
6,0.0833,930,360.000,0.000,295.918,4.082
6,0.0833,931,382.500,0.000,295.918,4.082
6,0.0833,932,405.000,0.000,295.918,4.082
6,0.0833,933,461.250,0.000,295.918,4.082
6,0.0833,934,472.500,0.000,295.918,4.082
6,0.0833,935,495.000,0.000,295.918,4.082
6,0.0833,936,517.500,0.000,295.918,4.082
6,0.0833,937,573.750,0.000,295.918,4.082
6,0.0833,938,585.000,0.000,295.918,4.082
6,0.0833,939,607.500,0.000,295.918,4.082
6,0.0833,940,630.000,0.000,295.918,4.082
6,0.0833,941,0.000,0.000,303.418,4.082
6,0.0833,942,11.250,0.000,303.418,4.082
6,0.0833,943,33.750,0.000,303.418,4.082
6,0.0833,944,56.250,0.000,303.418,4.082
6,0.0833,945,123.750,0.000,303.418,4.082
6,0.0833,946,146.250,0.000,303.418,4.082
6,0.0833,947,168.750,0.000,303.418,4.082
6,0.0833,948,236.250,0.000,303.418,4.082
6,0.0833,949,258.750,0.000,303.418,4.082
6,0.0833,950,281.250,0.000,303.418,4.082
6,0.0833,951,348.750,0.000,303.418,4.082
6,0.0833,952,371.250,0.000,303.418,4.082
6,0.0833,953,393.750,0.000,303.418,4.082
6,0.0833,954,461.250,0.000,303.418,4.082
6,0.0833,955,483.750,0.000,303.418,4.082
6,0.0833,956,506.250,0.000,303.418,4.082
6,0.0833,957,573.750,0.000,303.418,4.082
6,0.0833,958,596.250,0.000,303.418,4.082
6,0.0833,959,618.750,0.000,303.418,4.082
6,0.0833,960,641.250,0.000,303.418,4.082
6,0.0833,961,0.000,0.000,310.918,4.082
6,0.0833,962,22.500,0.000,310.918,4.082
6,0.0833,963,45.000,0.000,310.918,4.082
6,0.0833,964,67.500,0.000,310.918,4.082
6,0.0833,965,123.750,0.000,310.918,4.082
6,0.0833,966,135.000,0.000,310.918,4.082
6,0.0833,967,157.500,0.000,310.918,4.082
6,0.0833,968,180.000,0.000,310.918,4.082
6,0.0833,969,236.250,0.000,310.918,4.082
6,0.0833,970,247.500,0.000,310.918,4.082
6,0.0833,971,270.000,0.000,310.918,4.082
6,0.0833,972,292.500,0.000,310.918,4.082
6,0.0833,973,348.750,0.000,310.918,4.082
6,0.0833,974,360.000,0.000,310.918,4.082
6,0.0833,975,382.500,0.000,310.918,4.082
6,0.0833,976,405.000,0.000,310.918,4.082
6,0.0833,977,461.250,0.000,310.918,4.082
6,0.0833,978,472.500,0.000,310.918,4.082
6,0.0833,979,495.000,0.000,310.918,4.082
6,0.0833,980,517.500,0.000,310.918,4.082
6,0.0833,981,573.750,0.000,310.918,4.082
6,0.0833,982,585.000,0.000,310.918,4.082
6,0.0833,983,607.500,0.000,310.918,4.082
6,0.0833,984,630.000,0.000,310.918,4.082
6,0.0833,985,0.000,0.000,318.418,4.082
6,0.0833,986,11.250,0.000,318.418,4.082
6,0.0833,987,33.750,0.000,318.418,4.082
6,0.0833,988,56.250,0.000,318.418,4.082
6,0.0833,989,123.750,0.000,318.418,4.082
6,0.0833,990,146.250,0.000,318.418,4.082
6,0.0833,991,168.750,0.000,318.418,4.082
6,0.0833,992,236.250,0.000,318.418,4.082
6,0.0833,993,258.750,0.000,318.418,4.082
6,0.0833,994,281.250,0.000,318.418,4.082
6,0.0833,995,348.750,0.000,318.418,4.082
6,0.0833,996,371.250,0.000,318.418,4.082
6,0.0833,997,393.750,0.000,318.418,4.082
6,0.0833,998,461.250,0.000,318.418,4.082
6,0.0833,999,483.750,0.000,318.418,4.082
6,0.0833,1000,506.250,0.000,318.418,4.082
6,0.0833,1001,573.750,0.000,318.418,4.082
6,0.0833,1002,596.250,0.000,318.418,4.082
6,0.0833,1003,618.750,0.000,318.418,4.082
6,0.0833,1004,641.250,0.000,318.418,4.082
6,0.0833,1005,0.000,0.000,325.918,4.082
6,0.0833,1006,22.500,0.000,325.918,4.082
6,0.0833,1007,45.000,0.000,325.918,4.082
6,0.0833,1008,67.500,0.000,325.918,4.082
6,0.0833,1009,123.750,0.000,325.918,4.082
6,0.0833,1010,135.000,0.000,325.918,4.082
6,0.0833,1011,157.500,0.000,325.918,4.082
6,0.0833,1012,180.000,0.000,325.918,4.082
6,0.0833,1013,236.250,0.000,325.918,4.082
6,0.0833,1014,247.500,0.000,325.918,4.082
6,0.0833,1015,270.000,0.000,325.918,4.082
6,0.0833,1016,292.500,0.000,325.918,4.082
6,0.0833,1017,348.750,0.000,325.918,4.082
6,0.0833,1018,360.000,0.000,325.918,4.082
6,0.0833,1019,382.500,0.000,325.918,4.082
6,0.0833,1020,405.000,0.000,325.918,4.082
6,0.0833,1021,461.250,0.000,325.918,4.082
6,0.0833,1022,472.500,0.000,325.918,4.082
6,0.0833,1023,495.000,0.000,325.918,4.082
6,0.0833,1024,517.500,0.000,325.918,4.082
6,0.0833,1025,573.750,0.000,325.918,4.082
6,0.0833,1026,585.000,0.000,325.918,4.082
6,0.0833,1027,607.500,0.000,325.918,4.082
6,0.0833,1028,630.000,0.000,325.918,4.082
6,0.0833,1029,0.000,0.000,333.418,4.082
6,0.0833,1030,11.250,0.000,333.418,4.082
6,0.0833,1031,33.750,0.000,333.418,4.082
6,0.0833,1032,56.250,0.000,333.418,4.082
6,0.0833,1033,123.750,0.000,333.418,4.082
6,0.0833,1034,146.250,0.000,333.418,4.082
6,0.0833,1035,168.750,0.000,333.418,4.082
6,0.0833,1036,236.250,0.000,333.418,4.082
6,0.0833,1037,258.750,0.000,333.418,4.082
6,0.0833,1038,281.250,0.000,333.418,4.082
6,0.0833,1039,348.750,0.000,333.418,4.082
6,0.0833,1040,371.250,0.000,333.418,4.082
6,0.0833,1041,393.750,0.000,333.418,4.082
6,0.0833,1042,461.250,0.000,333.418,4.082
6,0.0833,1043,483.750,0.000,333.418,4.082
6,0.0833,1044,506.250,0.000,333.418,4.082
6,0.0833,1045,573.750,0.000,333.418,4.082
6,0.0833,1046,596.250,0.000,333.418,4.082
6,0.0833,1047,618.750,0.000,333.418,4.082
6,0.0833,1048,641.250,0.000,333.418,4.082
6,0.0833,1049,0.000,0.000,340.918,4.082
6,0.0833,1050,22.500,0.000,340.918,4.082
6,0.0833,1051,45.000,0.000,340.918,4.082
6,0.0833,1052,67.500,0.000,340.918,4.082
6,0.0833,1053,123.750,0.000,340.918,4.082
6,0.0833,1054,135.000,0.000,340.918,4.082
6,0.0833,1055,157.500,0.000,340.918,4.082
6,0.0833,1056,180.000,0.000,340.918,4.082
6,0.0833,1057,236.250,0.000,340.918,4.082
6,0.0833,1058,247.500,0.000,340.918,4.082
6,0.0833,1059,270.000,0.000,340.918,4.082
6,0.0833,1060,292.500,0.000,340.918,4.082
6,0.0833,1061,348.750,0.000,340.918,4.082
6,0.0833,1062,360.000,0.000,340.918,4.082
6,0.0833,1063,382.500,0.000,340.918,4.082
6,0.0833,1064,405.000,0.000,340.918,4.082
6,0.0833,1065,461.250,0.000,340.918,4.082
6,0.0833,1066,472.500,0.000,340.918,4.082
6,0.0833,1067,495.000,0.000,340.918,4.082
6,0.0833,1068,517.500,0.000,340.918,4.082
6,0.0833,1069,573.750,0.000,340.918,4.082
6,0.0833,1070,585.000,0.000,340.918,4.082
6,0.0833,1071,607.500,0.000,340.918,4.082
6,0.0833,1072,630.000,0.000,340.918,4.082
6,0.0833,1073,0.000,0.000,348.418,4.082
6,0.0833,1074,11.250,0.000,348.418,4.082
6,0.0833,1075,33.750,0.000,348.418,4.082
6,0.0833,1076,56.250,0.000,348.418,4.082
6,0.0833,1077,123.750,0.000,348.418,4.082
6,0.0833,1078,146.250,0.000,348.418,4.082
6,0.0833,1079,168.750,0.000,348.418,4.082
6,0.0833,1080,236.250,0.000,348.418,4.082
6,0.0833,1081,258.750,0.000,348.418,4.082
6,0.0833,1082,281.250,0.000,348.418,4.082
6,0.0833,1083,348.750,0.000,348.418,4.082
6,0.0833,1084,371.250,0.000,348.418,4.082
6,0.0833,1085,393.750,0.000,348.418,4.082
6,0.0833,1086,461.250,0.000,348.418,4.082
6,0.0833,1087,483.750,0.000,348.418,4.082
6,0.0833,1088,506.250,0.000,348.418,4.082
6,0.0833,1089,573.750,0.000,348.418,4.082
6,0.0833,1090,596.250,0.000,348.418,4.082
6,0.0833,1091,618.750,0.000,348.418,4.082
6,0.0833,1092,641.250,0.000,348.418,4.082
6,0.0833,1093,0.000,0.000,355.918,4.082
6,0.0833,1094,22.500,0.000,355.918,4.082
6,0.0833,1095,45.000,0.000,355.918,4.082
6,0.0833,1096,67.500,0.000,355.918,4.082
6,0.0833,1097,123.750,0.000,355.918,4.082
6,0.0833,1098,135.000,0.000,355.918,4.082
6,0.0833,1099,157.500,0.000,355.918,4.082
6,0.0833,1100,180.000,0.000,355.918,4.082
6,0.0833,1101,236.250,0.000,355.918,4.082
6,0.0833,1102,247.500,0.000,355.918,4.082
6,0.0833,1103,270.000,0.000,355.918,4.082
6,0.0833,1104,292.500,0.000,355.918,4.082
6,0.0833,1105,348.750,0.000,355.918,4.082
6,0.0833,1106,360.000,0.000,355.918,4.082
6,0.0833,1107,382.500,0.000,355.918,4.082
6,0.0833,1108,405.000,0.000,355.918,4.082
6,0.0833,1109,461.250,0.000,355.918,4.082
6,0.0833,1110,472.500,0.000,355.918,4.082
6,0.0833,1111,495.000,0.000,355.918,4.082
6,0.0833,1112,517.500,0.000,355.918,4.082
6,0.0833,1113,573.750,0.000,355.918,4.082
6,0.0833,1114,585.000,0.000,355.918,4.082
6,0.0833,1115,607.500,0.000,355.918,4.082
6,0.0833,1116,630.000,0.000,355.918,4.082
6,0.0833,1117,0.000,0.000,363.418,4.082
6,0.0833,1118,11.250,0.000,363.418,4.082
6,0.0833,1119,33.750,0.000,363.418,4.082
6,0.0833,1120,56.250,0.000,363.418,4.082
6,0.0833,1121,123.750,0.000,363.418,4.082
6,0.0833,1122,146.250,0.000,363.418,4.082
6,0.0833,1123,168.750,0.000,363.418,4.082
6,0.0833,1124,236.250,0.000,363.418,4.082
6,0.0833,1125,258.750,0.000,363.418,4.082
6,0.0833,1126,281.250,0.000,363.418,4.082
