frame,secondsSinceCut,released,moving,maxDropCm,meanDropCm,maxDisplacementCm,belowGround,realMsSinceLastFrame
1,0.0000,1436,0,0.000,0.000,0.000,0,53.76
2,0.0167,1436,1436,0.272,0.272,0.272,0,379.52
3,0.0333,1436,1436,0.816,0.816,0.816,0,29.95
4,0.0500,1436,1436,1.633,1.632,1.633,0,33.19
5,0.0667,1436,1436,2.721,2.719,2.721,0,32.37
6,0.0833,1436,1436,4.082,4.077,4.082,0,31.41
7,0.1000,1436,1436,5.714,5.708,5.714,0,35.18
8,0.1167,1436,1436,7.618,7.609,7.618,0,31.52
9,0.1333,1436,1436,9.795,9.716,9.795,0,32.58
10,0.1500,1436,1387,12.243,11.887,12.243,0,32.87
11,0.1667,1436,1424,14.962,14.136,14.962,0,33.26
12,0.1833,1436,1399,17.954,16.388,17.954,0,34.91
13,0.2000,1436,1400,21.217,18.617,21.217,0,36.71
14,0.2167,1436,1369,24.752,20.788,24.752,0,34.75
15,0.2333,1436,1377,28.573,22.914,28.573,0,35.59
16,0.2500,1436,1393,32.651,25.000,32.651,0,355.24
17,0.2667,1436,1404,37.019,27.023,37.019,0,32.73
18,0.2833,1436,1404,41.606,28.921,41.606,0,36.89
19,0.3000,1436,1406,46.501,30.679,46.501,0,39.56
20,0.3167,1436,1416,51.662,32.411,51.662,0,39.02
21,0.3333,1436,1420,56.809,34.088,56.809,0,42.06
22,0.3500,1436,1415,61.211,35.620,61.213,0,41.62
23,0.3667,1436,1423,65.825,36.900,65.830,0,43.67
24,0.3833,1436,1423,68.479,37.948,68.491,0,46.32
25,0.4000,1436,1425,69.012,38.702,69.059,0,44.88
26,0.4167,1436,1430,68.789,39.202,68.882,0,41.49
27,0.4333,1436,1433,68.792,39.499,68.945,0,41.49
28,0.4500,1436,1431,69.207,39.690,70.813,0,40.99
29,0.4667,1436,1431,72.915,39.912,75.748,0,40.30
30,0.4833,1436,1431,78.934,40.283,83.935,0,39.62
31,0.5000,1436,1428,85.202,40.859,94.284,0,364.68
32,0.5167,1436,1420,91.646,41.675,104.493,0,32.70
33,0.5333,1436,1407,98.315,42.747,114.428,0,37.22
34,0.5500,1436,1398,105.695,44.068,123.975,0,35.35
35,0.5667,1436,1396,113.919,45.647,133.048,0,37.70
36,0.5833,1436,1400,122.368,47.477,141.585,0,49.24
37,0.6000,1436,1395,131.048,49.557,149.555,0,36.99
38,0.6167,1436,1397,139.963,51.887,156.957,0,34.49
39,0.6333,1436,1392,149.118,54.451,163.826,0,33.98
40,0.6500,1436,1394,158.516,57.224,170.231,0,33.33
41,0.6667,1436,1396,168.162,60.206,176.277,0,35.14
42,0.6833,1436,1402,178.057,63.379,184.028,0,35.39
43,0.7000,1436,1404,188.205,66.734,194.418,0,37.61
44,0.7167,1436,1411,198.607,70.265,205.052,0,35.21
45,0.7333,1436,1414,209.266,73.977,215.933,0,33.73
46,0.7500,1436,1417,220.182,77.878,227.063,0,33.61
47,0.7667,1436,1411,231.357,81.962,238.445,0,33.22
48,0.7833,1436,1415,242.793,86.220,250.081,0,35.14
49,0.8000,1436,1427,254.490,90.643,261.971,0,36.41
50,0.8167,1436,1424,266.447,95.202,274.115,0,34.15
